sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Disponibilidad y uso de publicaciones oficiales en las bibliotecas";"Cherns, J.J.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1983";"UNESCO";"";"002/007/O68/PGI-83/WS/30";"";"";"Publicaciones; Organismos nacionales; Documentos oficiales; Bibliotecas";""
"Preservación y restauración de materiales fotográficos en archivos y bibliotecas: un estudio del RAMP con directrices";"Hendriks, K.B.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1984";"UNESCO";"";"002/007/O68/PGI-84/WS/ 1";"";"";"Fotografía; Conservación; Restauración; Bibliotecas; Archivos";""
"Directrices para los estudios relativos a los usuarios de la información (versión experimental)";"";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1981";"UNESCO";"";"002/007/O68/PGI-81/WS/ 2";"";"";"Información científico técnica; Bibliotecas; Usuarios; Sistemas de información; Encuestas";""
"Guidelines for conducting information manpower surveys";"Moore, N.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1986";"UNESCO";"";"002/007/O68/PGI-86/WS/ 3";"";"";"Sistemas de información; Bibliotecas; Archivos; Bibliotecarios; Planificación; Proyectos de desarrollo";""
"Medición de la eficacia de los sistemas de suministro de documentos";"";"Federación Internacional de Asociaciones e Instituciones de Bibliotecas (IFLA)";"1987";"UNESCO";"";"002/007/O68/PGI-87/WS/21";"";"";"Información; Centros de información; Eficiencia; Documentos";""
"Organización de los sistemas de información de los poderes públicos";"Grolier, E. de";"";"1980";"UNESCO";"";"007:025/G875";"";"";"Sistemas de información; Sector público; Documentos oficiales";""
"Desarrollo de redes y servicios de bibliotecas públicas: guía para la organización de redes nacionales y regionales de bibliotecas públicas como parte de la planificación general del servicio nacional de información";"Campbell, H.C.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1983";"UNESCO";"";"027.4:002.6/C188";"";"";"Bibliotecas públicas; Redes de información; Centros de información; Sistemas de información; Servicios de información";""
"Métodos de investigación con modelos tomados de la literatura pedagógica";"Alexander, C.; Burke, A.J.";"";"1962";"OEA";"";"021/A375";"";"";"Bibliotecas; Investigación; Manejo de la información; Descripción de documentos";""
"";"";"";"s.f.";"s.ed.";"Consejo Nacional de Investigaciones Científicas y Técnicas (CAICYT), Buenos Aires, AR // Federación Internacional de Documentación (FID/CLA). Seminario sobre Conmutación Bibliográfica. AR. 1982";"021.6/S471";"";"";"Bibliotecas; Cooperación técnica; Reprografía; Redes de información; Información";""
"An introduction to computer-based library systems";"Tedd, L.A.";"";"1979";"Heyden";"";"007:021/T256";"";"";"Bases de datos; Bibliotecas; Catalogación; Indización; Recuperación de información; Automatización; Computadoras";""
"Informática documental para bibliotecas";"Saffady, W.";"";"1987";"Diaz de Santos";"";"007:02/S128";"";"";"Informática; Sistemas computarizados; Procesamiento de datos; Catalogación; Computadoras; Software; Hardware; Bibliotecas";""
"Historia sucinta de la biblioteca del Congreso de la Nación.";"";"Congreso de la Nación";"1978";"Biblioteca del Congreso de la Nación";"";"021:93/A691";"";"";"Bibliotecas; Historia";""
"";"";"";"1977";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 13. AR. 1977";"02:06/R444/13";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1978";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 14. AR. 1978";"02:06/R444/14";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1979";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 15. AR. 1979";"02:06/R444/15";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1980";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 16. AR. 1980";"02:06/R444/16";"";"";"Bibliotecología; Centros de información; Bibliotecas";""
"";"";"";"1968";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 6. AR. 1968";"02:06/R444/6";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1982";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 18. AR. 1982";"02:06/R444/18";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1981";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 17. AR. 1981";"02:06/R444/17";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1983";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 19. AR. 1983";"02:06/R444/19";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1984";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 20. AR. 1984";"02:06/R444/20";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1985";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 21. AR. 1985";"02:06/R444/21";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1974";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional, 11. Reunión Iberoamericana de Bibliotecarios, 1. AR. 1974";"02:06/R444t/1";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"Hacia un sistema nacional de información";"";"";"1986";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 22. AR. 1986";"02:06/R444/22";"";"";"Bibliotecología; Bibliotecas; Documentación; Sistemas de información";""
"";"";"";"1987";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 23. AR. 1987";"02:06/R444/23";"";"";"Bibliotecología; Bibliotecas; Usuarios; Sistemas de información";""
"SABCED: Sistema de Administración de Bibliotecas y Centros de Documentación";"";"Centro Regional de Investigación y Desarrollo (CERIDE)";"1982";"CERIDE";"";"02:007/C397";"";"";"Bibliotecología; Administración; Sistemas computarizados; Automatización";""
"Use of library materials: the University of Pittsburgh study";"Kent, A.; Cohen, J.; Montgomery, K.L.";"";"1979";"M. Dekker";"";"024/K37";"";"";"Bibliometría; Bibliotecas universitarias; Información";""
"Making money: fees for library services";"Warner, A. Sizer";"";"1989";"Neal-Schuman";"";"025.11/W279";"";"";"Bibliotecas; Ventas; Aranceles; Servicio de referencia; Planificación";""
"La selección y adquisición de libros; manual para bibliotecas";"Peñalosa, Fernando";"";"1961";"Unión Panamericana";"";"025.21/.22/P15";"";"";"Bibliotecología; Compras; Libros; Publicaciones; Bibliotecas";""
"Scientific journals in the United States: their production, use and economics";"King, D.W.; McDonald, D.D.; Roderer, N.K.";"";"1981";"Hutchinson Ross";"";"05:5/6/K52";"";"";"Tecnología y ciencia; Publicaciones periódicas; Bibliotecas; Estados Unidos";""
"";"";"";"1983";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR // Federación Internacional de Asociaciones de Bibliotecarios y de Bibliotecas (IFLA) // Centro Regional para el Fomento del Libro en América Latina y el Caribe (CERLAL). Reunión Regional de Asociaciones de Profesionales de la Bibliotecología y de la Información de América Latina y el Caribe. AR. 1983";"061.2:023/R444";"";"";"Bibliotecarios; Profesionales; Bibliotecología; Propiedad intelectual; Bibliotecas";""
"";"Cubillos, J.; Alba, L.";"";"s.f.";"s.ed.";"Comisión Económica para América Latina (CEPAL), Santiago, CL // Centro Latinoamericano de Documentación Económica y Social (CLADES), Santiago, CL. Curso Intensivo sobre Administración de Redes. AR. 1986";"026/027:002/C962";"";"";"Redes de información; Bibliotecas; Administración";""
"Information technology and information use: towards a unified view of information and information technology";"Ingwersen, P.; Kajberg, L.; Mark Pejtersen, A.";"";"1986";"T. Graham";"";"025.5:682.3/I55";"";"";"Informática; Sistemas de información; Sistemas en línea; Bibliotecas; Información";""
"Information for all: access and availability; proceedings";"White, B. (ed.");"";"1987";"T. Graham";"Institute of Information Scientists. Annual conference. GB. 1986";"007:681/W582";"";"";"Sistemas de información; Información; Bibliotecas; Bases de datos; Redes de información";""
"Guía de bibliotecas y servicios de documentación región Centro-Oeste-República Argentina La Rioja, Mendoza, San Juan, San Luis";"";"Sistema Regional de Información Científica y Tecnológica (SIRICYT)";"1980";"SIRICYT";"";"058:002.6/S623/R";"";"";"Bibliotecas; Sistemas de información; Guías; Argentina";""
"Directorio de bibliotecas argentinas 1997; edición preliminar";"";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA) // Centro de Desarrollo de Proyectos (CEDEPRO)";"1997";"ABGRA";"";"058:027/A837/R";"";"";"Directorios; Bibliotecas; Argentina";""
"IES lighting handbook: the standard lighting guide";"Kaufman, John E. (ed.); Christensen, Jack F. (ed.");"";"1972";"Illuminating Engineering Society";"";"628.9/K21/5.ed./H";"";"";"Iluminación; Luminiscencia; Luminotecnia; Diseño; Iluminación artificial; Iluminación natural; Energía eléctrica; Instalaciones eléctricas; Oficinas; Escuelas; Edificios públicos; Bibliotecas; Iluminación interior; Iluminación exterior; Luz natural; Edificios industriales; Plantas industriales; Luminarias; Vivienda; Fuentes de luz; Televisión; Fotografía; Areas deportivas; Recreación; Iluminación vial; Aeropuertos; Transporte; Lámparas eléctricas; Publicidad; Señales luminosas; Percepción sensorial; Visión; Luz; Performance; Mediciones ópticas; Fotometría; Color; Métodos de cálculo";""
"Trabajos presentados";"";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA)";"1998";"ABGRA";"Reunión Nacional de bibliotecarios; 32. AR. 1998";"02:06/R444/32";"";"";"Bibliotecología; Bibliotecas; Documentación; Centros de información; Terminología; Tratamiento de la información; Capacitación; Bibliotecarios; Bases de datos; MERCOSUR; Globalización";""
"La industria argentina: desarrollo y cambios estructurales";"Kosacoff, Bernardo; Azpiazu, D.";"Comisión Económica para América Latina y el Caribe (CEPAL)";"1989";"CEPAL // Centro Editor de América Latina";"";"338.92/K86i";"";"";"Industrialización; Argentina; Desarrollo industrial; Promoción industrial; Inversiones; Exportación; Empresas transnacionales; Datos estadísticos; Historia";""
"Bibliotecas y automatización";"Carballo, Graciela; Cabrera, Clara M.; Carosio, Alicia A.";"Centro de Investigación Documentaria (CID)";"1981";"INTI-CID";"INFOREXCO 81, Congreso exposición de minicomputación, 3. AR. 1981";"1423";"";"";"Bibliotecas; Sistemas de información; Sistemas en línea; Automatización; Computadoras";""
"Qué es UNIRED? Reseña descriptiva y directorio de unidades de información";"";"Universidad Nacional de General Sarmiento. Unidad de Biblioteca y Documentación";"1998";"Universidad Nacional de General Sarmiento";"";"058:002/U58/R";"";"";"Redes de información; Reseñas; Directorios; Centros de información; Bibliotecas; Argentina";""
"Guía para la aplicación de la norma ISO 9000 a bibliotecas y servicios de información y documentación";"";"Sociedad Española de Documentación e Información Científica. Grupo de Trabajo sobre la Calidad (SEDIC)";"1998";"SEDIC";"";"658.56:02/S678";"";"";"Calidad; Normalización; Bibliotecas; Centros de información; Certificación de calidad; Sistemas de calidad; Aseguramiento de la calidad";""
"Gestión de información en las organizaciones; principios, conceptos y aplicaciones";"Ponjuán Dante, Gloria";"";"1998";"CECAPI";"";"002:658/P798";"";"";"Centros de información; Información; Gestión; Organización; Calidad; Productividad; Bibliotecas; Planificación; Dirección de empresas; Planificación estratégica; Gestión de la calidad; Marketing; Recursos humanos; Redes de información; Reingeniería; Benchmarking";""
"Claves para el éxito: indicadores de rendimiento para bibliotecas públicas";"Pujol, Dídac (trad.");"Col.legi Oficial de Bibliotecaris-Documentalistes de Catalunya";"1995";"Eumo editorial // Ediciones Octaedro // Diputació de Barcelona // Col.legi Oficial de Bibliotecaris-Documentalistes de Catalunya";"";"027.4/C687";"";"";"Bibliotecas públicas; Indicadores; Rendimiento; Bibliometría; Servicios; Inversiones; Producción; Costos; Usuarios; Técnicas estadísticas";""
"Diversidad, globalización y la sabiduría de la naturaleza";"Antón, Danilo";"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"1999";"CIID // Piriguazú ediciones";"";"574/A634";"";"";"Ecología; Equilibrio ecológico; Medio ambiente; Ecosistemas; Medio ambiente acuático; Gestión ambiental; Globalización; Capa de ozono; Deforestación; Recursos forestales; Recursos naturales; Agua; Recursos hídricos; Aire; Contaminación del aire; Higiene del aire; Fuentes de energía; Tecnologías limpias; Africa; Latinoamérica; Caribe; Areas urbanas; Población; Población indígena";""
"Conocimiento indígena; guía para el investigador";"Grenier, Louise";"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"1999";"CIID // Editorial tecnológica de Costa Rica";"";"303.4/G827";"";"";"Población indígena; Investigación; Desarrollo sustentable; Metodología; Proyectos de investigación; Evaluación";""
"International books in print 1988: a listing of English-language titles published in Canada, Continental Europe, Latin America, Oceania, Africa, Asia, and the Republic of Ireland";"Saur, K.G. (ed.");"";"1988";"K.G. Saur";"";"058:027/S259/R";"";"";"Bibliotecas; Fuentes de información; Directorios; Bancos de datos; Libros";""
"Laboratory management and techniques";"Edwards, J.A.";"";"1960";"Butterworths";"";"542.1/E26 // CEIAL/127/Lab.Microbiología";"";"";"Laboratorios; Diseño; Construcciones; Layout; Equipos de laboratorio; Organización; Mantenimiento; Seguridad; Prevención de accidentes; Fuego; Medidas de seguridad; Materiales radioactivos; Protección radiológica; Materiales audiovisuales; Proyectores; Fotografía; Reuniones; Bibliotecas; Compras; Consumo; Relaciones humanas";""
"Protegiendo la biodiversidad; leyes nacionales que regulan el acceso a los recursos genéticos en el continente americano";"Bass, Susan Perkoff (ed.); Ruiz Muller, Manuel (ed.");"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"2001";"CIID // Piriguazú ediciones";"";"574:34/B317";"";"";"Biodiversidad; Ecología; Ecosistemas; Recursos naturales; Medio ambiente; Legislación ambiental; Política ambiental; América del Norte; América Central; Latinoamérica";""
"Mejorando el desempeño de las organizaciones; método de autoevaluación";"Lusthaus, Charles; Adrien, Marie-Hélène; Anderson, Gary; Carden, Fred";"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"2001";"Editorial Tecnológica de Costa Rica // CIID";"";"658/L968";"";"";"Organización; Evaluación; Planificación; Dirección de empresas; Procesamiento de datos; Registro de datos; Eficiencia; Motivación; Rendimiento; Liderazgo; Encuestas";""
"Cultiver la paix; conflits et collaboration dans la gestion des ressources naturelles";"Buckles, Daniel (dir.");"Centro Internacional de Investigaciones para el Desarrollo (CIID) // Centre de Recherches pour le Développement International (CRDI)";"2001";"CIID // CRDI";"";"574/B924";"";"";"Recursos naturales; Gestión ambiental; Planificación ambiental; Recursos forestales; Silvicultura; Hidrografía; Bosques; Costas; Conservación; Tierra; Protección; Desarrollo sustentable; Medio ambiente; Ríos; Política ambiental";""
"Siembra de soluciones";"";"Grupo Crucible II";"2001-2003";"CIID // IPGRI // FDH";"";"574:32/G892E";"";"";"Recursos naturales; Genética; Protección; Biodiversidad; Medio ambiente; Política ambiental; Propiedad intelectual; Biotecnología; Ingeniería genética; Acuerdos internacionales; Convenios; Cambio tecnológico; Patentes; Legislación ambiental; Planificación ambiental; Población indígena";""
"Le débat des semences; volume 1: Solutions politiques pour les ressources génétiques: un brevet pour la vie revisité";"";"Grupo Crucible II // Groupe Crucible II";"2001";"CIID // IPGRI // FDH";"";"574:32/G892F";"";"";"Recursos naturales; Genética; Protección; Biodiversidad; Medio ambiente; Política ambiental; Propiedad intelectual; Biotecnología; Ingeniería genética; Acuerdos internacionales; Convenios; Cambio tecnológico; Patentes";""
"Seeding solutions; volume 2: Options for national laws governing control over genetic resources and biological innovations";"";"Crucible II Group";"2001";"CIID // IPGRI // FDH";"";"574:34/C955";"";"";"Recursos naturales; Genética; Protección; Biodiversidad; Medio ambiente; Política ambiental; Legislación ambiental; Propiedad intelectual; Biotecnología; Población indígena; Comunidades rurales; Cambio tecnológico";""
"Large mines and the community; socioeconomic and environmental effects in Latin America, Canada and Spain";"McMahon, Gary (ed.); Remy, Felix (ed.");"";"2001";"World Bank // IDRC";"";"622:614.7/M216";"";"";"Minas; Medio ambiente; Minería; Impactos ambientales; Impactos sociales; Explotaciones mineras; Costos; Bolivia; Chile; Perú; España; Canadá; Uranio";""
"The responsability to protect; report";"";"International Commission on Intervention and State Sovereignty (ICISS)";"2001";"IDRC // CRDI";"";"327/I61";"";"";"Política internacional; Proteccionismo; Organismos internacionales; Relaciones internacionales; Intervención extranjera";""
"La responsabilité de protéger; rapport";"";"Commission Internationale de l'Intervention et de la Souveraineté des Etats (CIISE)";"2001";"IDRC // CRDI";"";"327/C734";"";"";"Política internacional; Proteccionismo; Organismos internacionales; Relaciones internacionales; Intervención extranjera";""
"Une santé branchée sur la recherche; perspectives";"Neufeld, Victor (dir.); Johnson, Nancy (dir.");"Conseil de la Recherche en Santé pour le Développement";"2001";"IDRC // CRDI";"";"614:351.77/N482";"";"";"Salud pública; Política de salud; Política social; Desarrollo; Investigación científico técnica; Países subdesarrollados";""
"Patronage or partnership; local capacity building in humanitarian crises";"Smillie, Ian (ed.");"";"2001";"IDRC // CRDI // Kumarian Press";"";"327:364/S641";"";"";"Política internacional; Relaciones internacionales; Cooperación internacional; Acuerdos internacionales; Organismos internacionales; Países subdesarrollados; Ayuda al desarrollo";""
"La mondialisation au banc des accusés; la condition humaine et la civilisation de l'information";"Ragaee, Farhang";"";"2000";"IDRC // CRDI";"";"330.34/R161";"";"";"Globalización; Política internacional; Política económica; Información; Política de información; Sociedad de la información; Relaciones internacionales; Cambio tecnológico; Política; Economía; Cultura; Sociedad";""
"The wellbeing of Nations; a country-by-country index of quality of life and the environment";"Prescott-Allen, Robert";"";"2001";"Island Press // IDRC // CRDI";"";"304.2/P933";"";"";"Política social; Política ambiental; Medio ambiente; Condiciones de vida; Situación socioeconómica; Ecosistemas; Desarrollo sustentable; Recursos naturales; Sociedad";""
"Outcome mapping; building learning and reflection into development programs";"Earl, Sarah; Carden, Fred; Smutylo, Terry";"";"2001";"IDRC // CRDI";"";"330.34/E12";"";"";"Desarrollo económico; Proyectos de desarrollo; Evaluación de proyectos; Asistencia técnica; Planificación; Cooperación internacional";""
"Bibliotecas infantiles";"Litton, G.";"";"1973";"Centro Regional de Ayuda Técnica";"";"001/027/L761/15";"";"";"Bibliotecas especializadas; Bibliotecología";""
"La gestión forestal municipal en América Latina";"Ferroukhi, Lyès (ed.");"Centro Internacional de Investigaciones para el Desarrollo (CIID) // Center for International Research (CIFOR)";"2003";"CIID // CIFOR";"";"634.0.8/F397";"";"";"Recursos forestales; Gestión ambiental; Política ambiental; Administración; Descentralización; Gobierno regional; Municipalidad; Comunidades rurales; Latinoamérica";""
"Mapeo de alcances; incorporando aprendizaje reflexión en programas de desarrollo";"Earl, Sarah; Carden, Fred; Smutylo, Terry";"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"2002";"CIID // LUR";"";"65.012.2/E12";"";"";"Planificación; Evaluación de proyectos; Objetivos; Organización; Metodología; Proyectos de desarrollo; Gestión de proyectos";""
"Grandes minas y la comunidad; efectos socioeconómicos en Latinoamérica, Canadá y España";"McMahon, Gary (ed.); Remy, Félix (ed.");"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"2003";"CIID // Banco Mundial // Alfaomega";"";"622:33/M167";"";"";"Minería; Minas; Comunidad; Economía minera; Evaluación económica; Situación socioeconómica; Explotaciones mineras; Impactos sociales; Impactos ambientales; Latinoamérica; España; Canadá; Bolivia; Chile; Industria minera; Uranio";""
"Evaluación organizacional; marco para mejorar el desempeño";"Lusthaus, Charles; Adrien, Marie-Hélène; Anderson, Gary; Carden, Fred; Montalván, George Plinio";"Centro Internacional de Investigaciones para el Desarrollo (CIID) // Banco Interamericano de Desarrollo (BID)";"2002";"CIID // BID";"";"658/L968e";"";"";"Organización; Evaluación; Planificación; Cambio organizacional; Organización de empresas; Dirección de empresas; Desarrollo sustentable; Liderazgo; Eficiencia; Recursos humanos; Motivación; Rendimiento; Incentivos; Encuestas";""
"La política de investigación científica y tecnológica argentina; historia y perspectivas";"Oteiza, Enrique (dir.");"";"1992";"Centro Editor de América Latina";"";"CEMEC/68/Máq y Htas/Edif.43";"";"";"Investigación científico técnica; Política científica; Política tecnológica; Institutos de investigación; Recursos humanos; Proyectos nacionales; Tecnología y ciencia; Argentina";""
"Semillas generosas; mejoramiento participativo de plantas";"Vernooy, Ronnie";"Centro Internacional de Investigaciones para el Desarrollo (CIID)";"2003";"CIID";"";"631.53/V539";"";"";"Fitomejoramiento; Agricultura; Desarrollo agrícola; Biodiversidad; Cultivos; Vegetales; Semillas; Comunidades rurales; Desarrollo regional; Cebada; Africa; Medio Oriente; Latinoamérica; Maíz; Arroz; Nepal; China; Proyectos de investigación; Cooperación técnica; Desarrollo sustentable";""
"Cultivar la paz; conflicto y  colaboración en el manejo de los recursos naturales";"Buckles, Daniel (ed.");"Centro Internacional de Investigaciones para el Desarrollo (CIID) // Centre de Recherches pour le Développement International (CRDI)";"2000";"CIID // CRDI";"";"574/B924E";"";"";"Recursos naturales; Gestión ambiental; Planificación ambiental; Recursos forestales; Silvicultura; Hidrografía; Bosques; Costas; Conservación; Tierra; Protección; Desarrollo sustentable; Medio ambiente; Ríos; Política ambiental";""
"Coletânea de artigos publicados por especialistas de informaçâo do SENAI";"";"Confederação Nacional da Indústria. Serviço Nacional de Aprendizagem Industrial (CNI-SENAI)";"2002";"SENAI";"";"02(081.1)/S491";"";"";"Información científico técnica; Gestión; Planificación estratégica; Sistemas de información; Sistemas de calidad; Centros de información; Procesos industriales; Tecnología y ciencia; Competencia; Diseminación de la información; Bibliotecas; Internet";""
"¿Catástrofe o nueva sociedad?: modelo mundial latinoamericano 30 años después";"Herrera, Amilcar O.; Scolnick, Hugo D.; Chichilnisky, Gabriela; Gallopin, Gilberto C.; Hardoy, Jorge E.; Mosovich, Diana; Oteiza, Enrique; Romero Brest, Gilda L.de; Suárez, Carlos E.; Talavera, Luis";"Centro Internacional de Investigaciones para el Desarrollo (CIID) // Instituto Internacional de Medio Ambiente y Desarrollo (IIED-América Latina)";"2004";"CIID // IIED";"";"316.42/H565";"";"";"Sociedad; Política social; Modelos; Situación socioeconómica; Globalización; Pobreza; Consumo; Desarrollo sustentable; Medio ambiente; Recursos naturales; Recursos mineros; Energía; Contaminación ambiental; Control de la contaminación; Modelos matemáticos; Sistemas económicos; Necesidades básicas; Producción; Fuerza del trabajo; Desarrollo tecnológico; Progreso científico; Relaciones internacionales; Optimización; Demografía; Población; Salud; Alimentación; Agricultura; Producción animal; Recursos pesqueros; Nutrición; Vivienda; Urbanización; Educación; Crecimiento económico; Política de crecimiento; Distribución del ingreso";""
"Directrices para las transacciones de referencia en la  Biblioteca del Instituto Nacional de Tecnología Industrial";"Falcato, Pedro; López, Alicia Isabel; Araujo, Juan Facundo";"Centro de Investigación y Desarrollo de Métodos y Técnicas para Empresas Industriales (INTI-Extensión y Desarrollo-div.Biblioteca)";"2004";"INTI";"";"4411";"";"";"Servicio de referencia; Sistemas de calidad; Bibliotecas especializadas; Procedimientos; Calidad; Usuarios; Manejo de la información; INTI";""
"Textile industry information sources; an annotated guide to the literature of textile fibers, dyes and dyeing, design and decoration, weaving, machinery, and other subjects";"Kopycynski, Joseph V.";"";"1964";"Gale Research Company // Book Tower";"";"677:016/K83";"";"";"Industria textil; Fuentes de información; Enciclopedias; Diccionarios; Resúmenes; Indización; Indices de publicaciones; Publicaciones; Bibliografías; Directorios; Datos estadísticos; Manuales; Normas; Especificaciones; Clasificación; Bibliotecas especializadas";""
"Catálogo colectivo de publicaciones periódicas; existentes en bibliotecas científicas y técnicas argentinas";"Gietz, Ernesto G.";"Consejo Nacional de Investigaciones Científicas y Técnicas (CAICYT)";"1962";"CAICYT";"";"019.6:05/C755/2.ed./R";"";"";"Catálogos; Publicaciones periódicas; Argentina; Bibliotecas; Bibliotecas especializadas; Información científico técnica";""
"IES lighting handbook; application volume";"Kaufman, John E. (ed.); Haynes, Howard (ed.");"Illuminating Engineering Society of North America (IES)";"1981";"IES";"";"FISICA/620/Div.Luminotecnia";"";"";"Iluminación; Diseño; Iluminación artificial; Iluminación natural; Energía; Energía eléctrica; Instalaciones eléctricas; Oficinas; Escuelas; Edificios públicos; Bibliotecas; Iluminación interior; Iluminación exterior; Luz natural; Edificios industriales; Plantas industriales; Vivienda; Luminarias; Fuentes de luz; Televisión; Fotografía; Areas deportivas; Recreación; Iluminación vial; Aeropuertos; Transportes; Lámparas eléctricas; Publicidad; Señales luminosas; Percepción sensorial; Visión; Luz; Lámparas incandescentes; Performance; Mediciones ópticas; Fotometría; Color; Métodos de cálculo";""
"Manual de biblioteconomía";"Orera Orera, Luisa (ed.");"";"2002";"Editorial Síntesis";"";"02/O66/H";"";"";"Bibliotecología; Terminología; Historia; Documentación; Ciencias de la información; Enseñanza; Escuelas; España; Bibliotecas; Archivos; Centros de información; Personal; Bibliotecarios; Publicaciones; Mantenimiento; Procedimientos administrativos; Procesamiento técnico de documentos; Catalogación; Clasificación de documentos; Ubicación; Inventarios; Catálogos; OPACs; Estrategias de búsqueda; Recuperación de información; Conservación de libros; Edificios; Equipamiento; Usuarios; Gestión; Planificación; Administración; Presupuesto; Servicios de información; Servicio de referencia; Bibliotecas nacionales; Bibliotecas universitarias; Bibliotecas especializadas; Bibliotecas públicas; Bibliotecas escolares; Redes de información; Cooperación internacional";""
"Arte de proyectar en arquitectura: fundamentos, normas y prescripciones sobre construcción, dimensiones de edificios, locales y utensilios, instalaciones, distribución de programas de necesidades";"Neufert, Ernst; Neufert, Peter (ed.");"";"1995";"Gustavo Gili";"";"Construcciones/35 // Manuales/C1/1208";"";"";"Arquitectura; Proyectos arquitectónicos; Normas; Instalaciones; Dimensiones; Elementos constructivos; Cimentación; Armadura; Techos; Estructuras; Calefacción; Ventilación; Refrigeración; Climatización; Edificios; Protección; Aislación térmica; Aislación sonora; Iluminación artificial; Vidrios; Iluminación natural; Puertas; Ventanas; Escaleras; Ascensores; Ingeniería vial; Jardines; Vivienda; Cocinas; Equipamiento de cocina; Comedores; Dormitorios; Baños; Muebles; Piscinas; Lavaderos; Balcones; Caminos; Escuelas; Universidades; Bibliotecas; Oficinas; Bancos; Edificios comerciales; Almacenamiento; Talleres; Edificios industriales; Granjas; Establecimientos ganaderos; Ferrocarriles; Garajes; Estacionamiento; Estaciones de servicio; Aeropuertos; Restaurantes; Hoteles; Zoológicos; Teatros; Cines; Areas deportivas; Hospitales; Residencias de ancianos; Iglesia; Museos; Cementerios; Incendios; Protección; Unidades de medición; Peso; Prevención de incendios";""
